country,points,price,province,region_1,region_2,variety,winery
US,82,17.0,California,Sonoma County,Sonoma,Chardonnay,Shiloh Road
US,87,22.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Alta Maria
US,86,25.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Lachini
US,93,55.0,California,Templeton Gap District,Central Coast,Syrah,Austin Hope
US,89,20.0,California,San Antonio Valley,Central Coast,Tempranillo,Quinta Cruz
France,92,31.0,Loire Valley,Sancerre,,Sauvignon Blanc,Jean-Paul Picard
Portugal,87,20.0,Península de Setúbal,,,Portuguese Red,Herdade da Comporta
US,87,18.0,Oregon,Umpqua Valley,Southern Oregon,Chardonnay,Melrose
France,90,,Loire Valley,Chinon,,Cabernet Franc,Domaine des Béguineries
France,88,,Alsace,Alsace,,Gewürztraminer,Henri Schoenheitz
Argentina,89,30.0,Mendoza Province,Mendoza,,Malbec-Cabernet Sauvignon,Achaval-Ferrer
US,92,75.0,California,Carneros,Napa-Sonoma,Pinot Noir,Etude
Italy,89,,Piedmont,Roero,,Nebbiolo,Careglio
US,89,25.0,California,Santa Barbara County,Central Coast,Chardonnay,Consilience
Australia,89,75.0,South Australia,Clarendon,,Grenache,Clarendon Hills
Italy,88,12.0,Northeastern Italy,Vigneti delle Dolomiti,,Red Blend,Alta Luna
Italy,89,57.0,Piedmont,Barolo,,Nebbiolo,Barale Fratelli
US,86,42.0,California,Rockpile,Sonoma,Malbec,Keating
France,87,,Burgundy,Marsannay,,Chardonnay,Domaine Bruno Clair
US,90,39.0,California,Sonoma Coast,Sonoma,Pinot Noir,Bougetz
Austria,96,40.0,Wachau,,,Grüner Veltliner,Emmerich Knoll
US,90,36.0,California,Calaveras County,Sierra Foothills,Syrah-Viognier,Prospect 772
US,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Zinfandel,Forgeron
US,88,35.0,California,Napa Valley,Napa,Cabernet Sauvignon,Emblem
US,92,44.0,California,Santa Ynez Valley,Central Coast,Syrah,Foxen
US,85,28.0,Virginia,Virginia,,Vidal,Gray Ghost
US,89,40.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Sonnet
Italy,85,15.0,Tuscany,Chianti Classico,,Red Blend,Cantine Bellini
Italy,93,49.0,Piedmont,Barolo,,Nebbiolo,Mauro Veglio
Portugal,87,,Lisboa,,,Arinto,Companhia das Quintas
US,88,125.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Obelisco Estate
Chile,84,15.0,Cachapoal Valley,,,Syrah,Château Los Boldos
Portugal,90,20.0,Alentejano,,,Touriga Nacional,Terras de Alter
US,83,28.0,California,Paso Robles,Central Coast,Zinfandel,Graveyard
Italy,85,14.0,Veneto,Veneto,,Manzoni,Bonotto delle Tezze
Portugal,91,13.0,Beiras,,,Touriga Nacional-Cabernet Sauvignon,Aveleda
Germany,90,18.0,Mosel,,,Riesling,Dr. Heidemanns-Bergweiler
US,90,24.0,California,California,California Other,White Blend,La Pleïade II
