country,points,price,province,region_1,region_2,variety,winery
US,89,15.0,California,Sonoma County,Sonoma,Cabernet Sauvignon,Wellington
US,87,12.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pedroncelli
US,93,29.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Windy Oaks
US,86,26.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Justin
US,90,34.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Louis M. Martini
US,87,30.0,New York,Finger Lakes,Finger Lakes,Cabernet Franc,Lakewood
US,91,25.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
US,93,35.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Weatherborne
US,86,17.0,California,California,California Other,Red Blend,Spann Vineyards
US,88,20.0,California,North Coast,North Coast,Cabernet Sauvignon,Josh Cellars
US,89,50.0,California,El Pomar District,Central Coast,Red Blend,Sextant
US,84,27.0,California,San Francisco Bay,Central Coast,Zinfandel,Dante Robere
US,90,39.0,California,Russian River Valley,Sonoma,Chardonnay,Patz & Hall
US,86,25.0,New York,Finger Lakes,Finger Lakes,Champagne Blend,Château Frank
US,85,18.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sangiovese,Vital
US,90,48.0,California,Russian River Valley,Sonoma,Sparkling Blend,Longboard
US,92,28.0,California,Oak Knoll District,Napa,Chardonnay,Corvalle
US,91,9.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Barnard Griffin
US,93,96.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Chateau Margene
US,87,12.0,California,California,California Other,Red Blend,Leese-Fitch
US,92,80.0,California,Calistoga,Napa,Cabernet Sauvignon,Davies
US,88,58.0,California,Paso Robles,Central Coast,Red Blend,Niner
US,91,50.0,California,Santa Ynez Valley,Central Coast,Merlot,Brave & Maiden
US,90,36.0,Washington,Columbia Valley (WA),Columbia Valley,Grenache,Bunnell
US,89,40.0,Washington,Yakima Valley,Columbia Valley,Tempranillo,Canoe Ridge
US,91,20.0,California,Paso Robles,Central Coast,Rhône-style White Blend,Tablas Creek
US,88,15.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Lujon
US,91,20.0,California,North Coast,North Coast,Red Blend,Marietta Cellars
US,93,50.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Loring Wine Company
US,94,150.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Blackbird Vineyards
US,93,75.0,California,Spring Mountain District,Napa,Cabernet Sauvignon,Terra Valentine
US,93,70.0,Washington,Columbia Valley (WA),Columbia Valley,G-S-M,Tenet
US,91,45.0,Washington,Yakima Valley,Columbia Valley,Syrah,Avennia
US,83,45.0,California,Sonoma Valley,Sonoma,Zinfandel,Rancho Zabaco
US,89,38.0,California,Paso Robles,Central Coast,Zinfandel,Écluse
US,84,16.0,California,Knights Valley,Sonoma,Syrah,Earthshaker
US,84,14.0,California,California,California Other,Pinot Noir,Cartlidge & Browne
US,83,21.0,California,Sonoma Coast,Sonoma,Pinot Noir,Director's Cut
US,89,20.0,New York,Finger Lakes,Finger Lakes,Riesling,Red Newt Cellars
US,83,25.0,California,Santa Ynez Valley,Central Coast,Chardonnay,Brander
US,92,35.0,California,Santa Barbara County,Central Coast,Cabernet Sauvignon,Nadia
US,92,28.0,California,Russian River Valley,Sonoma,Chardonnay,Balletto
US,86,12.0,California,California,California Other,Moscato,Moscato Bella
US,83,19.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Cubanisimo Vineyards
US,89,35.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Robert Ramsay
US,86,28.0,California,Russian River Valley,Sonoma,Pinot Noir,Miro
US,92,60.0,Oregon,McMinnville,Willamette Valley,Pinot Noir,Hyland
US,87,25.0,New York,North Fork of Long Island,Long Island,Merlot,Raphael
US,88,29.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Firesteed
US,91,18.0,Oregon,Dundee Hills,Willamette Valley,Pinot Blanc,Thistle
US,89,60.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Feather
US,87,24.0,California,Napa Valley,Napa,Chardonnay,Rutherford Ranch
US,89,28.0,Washington,Columbia Gorge (WA),Washington Other,Chardonnay,Foundry Vineyards
US,91,28.0,Washington,Yakima Valley,Columbia Valley,Syrah,McCrea Cellars
US,87,23.0,Washington,Columbia Valley (WA),Columbia Valley,White Blend,Patterson
US,94,49.0,California,Sonoma Coast,Sonoma,Syrah,Boheme
US,90,24.0,New York,Long Island,Long Island,Rosé,Wölffer
US,85,11.0,California,California,California Other,Chardonnay,Grayson
US,87,12.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Liberty School
US,87,12.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Buttonwood Farm
US,84,36.0,Washington,Yakima Valley,Columbia Valley,Malbec,Telaya
US,87,40.0,Oregon,Rogue Valley,Southern Oregon,Grenache,Griffin Creek
US,90,38.0,California,Napa Valley,Napa,Cabernet Sauvignon,Louis M. Martini
US,89,20.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Illahe
US,88,44.0,California,Paso Robles,Central Coast,Red Blend,Kiamie
US,82,17.0,California,Alexander Valley,Sonoma,Chardonnay,Souverain
US,93,30.0,California,Russian River Valley,Sonoma,Zinfandel,Carlisle
US,91,11.0,Washington,Columbia Valley (WA),Columbia Valley,Gewürztraminer,Hogue
US,85,25.0,California,St. Helena,Napa,Cabernet Sauvignon,Krutz
US,93,39.0,California,Santa Maria Valley,Central Coast,Chardonnay,Dolin
US,89,25.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Coelho
US,84,15.0,California,California,California Other,Red Blend,Murphy-Goode
US,82,16.0,California,Sonoma County,Sonoma,Pinot Noir,Taft Street
US,93,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Flora Springs
US,93,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Figgins
US,85,13.0,California,North Coast,North Coast,Zinfandel,Pure
US,93,48.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Samsara
US,88,25.0,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Dr. Konstantin Frank
US,87,24.0,California,Edna Valley,Central Coast,Pinot Noir,Tolosa
US,90,60.0,California,Russian River Valley,Sonoma,Pinot Noir,En Garde
US,87,15.0,California,Sonoma County,Sonoma,Chardonnay,Gallo Family Vineyards
US,90,16.0,California,Monterey County,Central Coast,Chardonnay,Slow Press
US,85,20.0,California,Temecula Valley,South Coast,Rosé,Lorenzi Estate
US,88,22.0,Washington,Horse Heaven Hills,Columbia Valley,Grenache,L'Ecole No. 41
US,88,65.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Juslyn Vineyards
US,81,12.0,California,Lodi,Central Valley,White Blend,Peirano
US,84,75.0,California,Sonoma Coast,Sonoma,Chardonnay,Keller Estate
US,86,26.0,California,Napa Valley,Napa,Chardonnay,Flora Springs
US,91,35.0,Washington,Walla Walla Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Seven Hills
US,90,25.0,California,San Bernabe,Central Coast,Red Blend,Diora
US,91,19.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Pondera
US,87,60.0,California,Sonoma County,Sonoma,Syrah,Pride Mountain
US,86,48.0,California,Santa Maria Valley,Central Coast,Syrah,Foxen
US,92,45.0,California,Oakville,Napa,Cabernet Sauvignon,Oakville Winery
US,84,19.0,California,Amador County,Sierra Foothills,Zinfandel,Four Vines
US,91,40.0,California,Central Coast,Central Coast,Rhône-style Red Blend,Clos La Chance
US,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Apex
US,90,28.0,Washington,Red Mountain,Columbia Valley,Syrah,Ambassador Vineyard
US,88,45.0,New York,North Fork of Long Island,Long Island,Sparkling Blend,Bedell
US,90,70.0,California,Russian River Valley,Sonoma,Pinot Noir,De Loach
US,90,34.0,California,Russian River Valley,Sonoma,Pinot Gris,J Vineyards & Winery
US,89,34.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Boekenoogen
US,86,26.0,California,Knights Valley,Sonoma,Viognier,Lawer
US,82,41.0,California,Temecula Valley,South Coast,Sangiovese,Cougar
US,92,150.0,California,Saddle Rock-Malibu,South Coast,Cabernet Sauvignon,Cielo
US,94,98.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,En Garde
US,93,45.0,California,Russian River Valley,Sonoma,Zinfandel,Dutton-Goldfield
US,84,13.0,California,California,California Other,G-S-M,Cameron Hughes
US,92,38.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Ojai
US,90,28.0,New York,North Fork of Long Island,Long Island,Cabernet Sauvignon,Hound's Tree
US,87,60.0,California,Santa Maria Valley,Central Coast,Grenache,Alta Maria
US,85,45.0,California,Napa Valley,Napa,Cabernet Sauvignon,Judd's Hill
US,85,30.0,California,Paso Robles,Central Coast,Malbec,Hearst Ranch
US,87,16.0,New York,Finger Lakes,Finger Lakes,Chardonnay,Stony Lonesome
US,92,75.0,California,Napa Valley,Napa,Petit Verdot,Frazier
US,87,23.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Dutton Estate
US,89,65.0,Washington,Columbia Valley (WA),Columbia Valley,Grenache,Alleromb
US,92,39.0,California,North Coast,North Coast,Sparkling Blend,Schramsberg
US,90,24.0,California,Sonoma Mountain,Sonoma,Pinot Meunier,Novy
US,88,11.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Gordon Brothers
US,92,39.0,California,Russian River Valley,Sonoma,Chardonnay,Fog Crest
US,94,75.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Trisaetum
US,91,16.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Arbor Crest
US,86,25.0,Washington,Wahluke Slope,Columbia Valley,Zinfandel,Two Vintners
US,87,18.0,Oregon,Oregon,Oregon Other,Pinot Gris,Pino
US,91,40.0,Oregon,Applegate Valley,Southern Oregon,Cabernet Franc-Merlot,Quady North
US,84,23.0,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Parmeson
US,84,14.0,California,Central Coast,Central Coast,Chardonnay,Cupcake
US,94,62.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Foxen
US,93,58.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Robert Young
US,90,37.0,California,Sierra Foothills,Sierra Foothills,Barbera,Naggiar
US,88,42.0,California,Carneros,Napa-Sonoma,Chardonnay,Jeff Gordon
US,84,18.0,California,El Dorado,Sierra Foothills,Cabernet Franc,Charles B. Mitchell
US,95,30.0,Washington,Columbia Gorge (WA),Washington Other,Chardonnay,Tranche
US,86,40.0,California,Paso Robles,Central Coast,Meritage,Robert Hall
US,93,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sequum
US,86,22.0,Washington,Yakima Valley,Columbia Valley,Merlot,Kestrel
US,95,75.0,California,Chalk Hill,Sonoma,Cabernet Sauvignon,Creō
US,91,50.0,California,Edna Valley,Central Coast,Pinot Noir,Summerland
US,82,19.0,California,North Coast,North Coast,Petite Sirah,Ramsay
US,91,39.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Chateau Margene
US,89,27.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Ott & Murphy
US,96,60.0,California,Santa Ynez Valley,Central Coast,Syrah,Zaca Mesa
US,88,20.0,California,Sonoma County-Napa County,Napa-Sonoma,Merlot,Ghost Pines
US,89,28.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Tamarack Cellars
US,87,50.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Three Rivers
US,87,35.0,California,Lodi,Central Valley,Cabernet Franc,Michael David
US,93,36.0,New York,Seneca Lake,Finger Lakes,Riesling,Hermann J. Wiemer
US,89,24.0,California,Paso Robles,Central Coast,Albariño,Broken Earth
US,90,24.0,California,Santa Barbara County,Central Coast,Rhône-style White Blend,Standing Sun
US,91,22.0,Oregon,Oregon,Oregon Other,Viognier,Apolloni
US,90,24.0,California,Calaveras County,Sierra Foothills,Petite Sirah,Newsome-Harlow
US,86,25.0,Oregon,Willamette Valley,Willamette Valley,Rosé,Samuel Robert
US,83,18.0,California,Paso Robles,Central Coast,Red Blend,Pomar Junction
US,86,32.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,The Four Graces
US,86,16.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Pedroncelli
US,86,65.0,California,Napa Valley,Napa,Chardonnay,Merryvale
US,84,14.0,California,California,California Other,Chardonnay,R8
US,85,40.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,:Nota Bene
US,83,10.0,California,California,California Other,Cabernet Sauvignon,Cookies & Cream
US,90,35.0,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Spann Vineyards
US,85,15.0,California,Napa Valley,Napa,Sauvignon Blanc,Verse & Chorus
US,92,45.0,California,Napa Valley,Napa,Syrah,Aril
US,92,27.0,California,Napa Valley,Napa,Cabernet Sauvignon,Cameron Hughes
US,92,26.0,California,Sierra Foothills,Sierra Foothills,Syrah,La Clarine Farm
US,89,16.0,California,Lodi,Central Valley,Primitivo,Uvaggio
US,95,40.0,California,Oakville,Napa,Fumé Blanc,Robert Mondavi
US,90,36.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Ruby
US,89,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Merlot,Kontos
US,91,40.0,California,Sonoma Valley,Sonoma,Zinfandel,St. Francis
US,86,39.0,California,Paso Robles,Central Coast,Rhône-style White Blend,Ascension Cellars
US,87,14.0,California,Sonoma County,Sonoma,Merlot,Kenwood
US,87,25.0,California,Paso Robles,Central Coast,Merlot,River Star
US,92,50.0,Washington,Red Mountain,Columbia Valley,Bordeaux-style Red Blend,Tamarack Cellars
US,88,48.0,California,Santa Cruz Mountains,Central Coast,Meritage,Kings Mountain
US,92,50.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Gramercy
US,90,54.0,California,Carneros,Napa-Sonoma,Pinot Noir,Saintsbury
US,90,42.0,California,Bennett Valley,Sonoma,Roussanne,Red Car
US,88,75.0,California,Napa Valley,Napa,Cabernet Sauvignon,Trotter 1/16
US,96,34.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Boekenoogen
US,92,90.0,California,Adelaida District,Central Coast,Cabernet Sauvignon,The Farm Winery
US,86,20.0,California,Napa Valley,Napa,Cabernet Sauvignon,Napa Station
US,83,26.0,California,Calistoga,Napa,Sauvignon Blanc,Vermeil
US,92,28.0,California,Dry Creek Valley,Sonoma,Zinfandel,Dry Creek Vineyard
US,83,28.0,California,Central Coast,Central Coast,Chardonnay,Calcareous
US,89,15.0,California,California,California Other,Moscato,St. Supéry
US,92,45.0,California,Chalk Hill,Sonoma,Sauvignon Blanc,Chalk Hill
US,93,45.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sangiovese,K Vintners
US,88,32.0,California,Paso Robles,Central Coast,Cabernet Sauvignon,Dunning Vineyards
US,92,36.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Colene Clemens
US,85,12.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Koehler
US,89,23.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Novelty Hill
US,86,12.0,California,California,California Other,Pinot Noir,Guenoc
US,89,42.0,California,Yorkville Highlands,North Coast,Syrah,Meyer Family Cellars
US,89,50.0,New York,North Fork of Long Island,Long Island,Petit Verdot,Pellegrini Vineyards
US,88,19.0,California,Napa Valley,Napa,Merlot,Parcel 41
US,89,12.0,Washington,Washington,Washington Other,Chardonnay,Charles Smith
US,91,95.0,California,Napa Valley,Napa,Cabernet Sauvignon,Duckhorn
US,88,18.0,California,Napa Valley,Napa,Pinot Gris,Waterstone
US,89,28.0,Washington,Columbia Valley (WA),Columbia Valley,Mourvèdre,Stottle
US,83,14.0,Washington,Yakima Valley,Columbia Valley,Chardonnay,San Juan Vineyards
US,83,30.0,California,Monterey County,Central Coast,Pinot Noir,Dahlia
US,82,24.0,California,Sonoma Coast,Sonoma,Pinot Noir,La Crema
US,87,21.0,California,Paso Robles,Central Coast,Chardonnay,Robert Hall
US,85,39.0,California,Fair Play,Sierra Foothills,Tempranillo Blend,Baiocchi Wines
US,86,40.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Basel Cellars
US,90,32.0,California,Dry Creek Valley,Sonoma,Grenache,Quivira
US,90,22.0,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Novelty Hill
US,87,24.0,Oregon,Rogue Valley,Southern Oregon,Pinot Noir,Deer Creek
US,93,38.0,California,Paso Robles,Central Coast,Rhône-style Red Blend,Seven Oxen
US,96,44.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Samsara
US,92,45.0,California,Paso Robles,Central Coast,Zinfandel,Hearst Ranch
US,91,48.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Douglas Vineyards
US,93,42.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Boekenoogen
US,86,20.0,California,Green Valley,Sonoma,Pinot Noir,River Road
US,90,18.0,California,Amador County,Sierra Foothills,Aglianico,Terra d'Oro
US,91,50.0,California,Russian River Valley,Sonoma,Pinot Noir,J Vineyards & Winery
US,82,16.0,Washington,Horse Heaven Hills,Columbia Valley,Sauvignon Blanc,Canoe Ridge
US,82,12.0,California,Sonoma County,Sonoma,White Blend,Pedroncelli
US,87,34.0,California,Santa Barbara County,Central Coast,Grenache,Jaffurs
US,88,44.0,California,Calistoga,Napa,Cabernet Sauvignon,Summers
US,87,27.0,New York,Finger Lakes,Finger Lakes,Riesling,Heart & Hands
US,87,14.0,California,Monterey County,Central Coast,Cabernet Sauvignon,Robert Mondavi
US,94,44.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Cinnabar
US,85,48.0,California,Santa Ynez Valley,Central Coast,Syrah,Sunstone
US,87,5.0,California,California,California Other,Sparkling Blend,Mancan
US,88,39.0,California,Fair Play,Sierra Foothills,Syrah-Tempranillo,Baiocchi Wines
US,87,55.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
US,88,42.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Kessler-Haak
US,90,17.0,New York,Finger Lakes,Finger Lakes,Riesling,Ravines
US,85,15.0,California,El Dorado,Sierra Foothills,Mataro,Coulson Eldorado
US,91,60.0,California,Templeton Gap District,Central Coast,Zinfandel,Lone Madrone
US,91,54.0,California,Alexander Valley,Sonoma,Sangiovese,Seghesio
US,93,80.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Vidon Vineyard
US,93,38.0,California,Arroyo Grande Valley,Central Coast,Tempranillo,Bodega de Edgar
US,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Preston
US,91,23.0,Oregon,Willamette Valley,Willamette Valley,Pinot Blanc,Vercingetorix VX
US,88,29.0,California,Sierra Foothills,Sierra Foothills,Petite Sirah,Naggiar
US,82,12.0,California,California,California Other,Sauvignon Blanc,Mirassou
US,86,32.0,California,Amador County,Sierra Foothills,Zinfandel,Iron Hub
US,90,60.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Renteria
US,89,30.0,New York,North Fork of Long Island,Long Island,Cabernet Franc,Lieb
US,85,20.0,New York,New York,New York Other,Sparkling Blend,Hosmer
US,91,36.0,California,Russian River Valley,Sonoma,Pinot Noir,Matrix
US,92,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,J Vineyards & Winery
US,85,70.0,California,Coombsville,Napa,Cabernet Sauvignon,J. Moss Wines
US,90,35.0,California,Napa Valley,Napa,Cabernet Sauvignon,Michael Mondavi Family Estate
US,92,32.0,New York,North Fork of Long Island,Long Island,Cabernet Franc,Southold
US,87,38.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,McIntyre Vineyards
US,93,75.0,Oregon,Dundee Hills,Willamette Valley,Chardonnay,Domaine Serene
US,95,62.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Clos de la Tech
US,86,22.0,California,Yorkville Highlands,North Coast,Bordeaux-style Red Blend,Wattle Creek
US,90,17.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Lange
US,93,200.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Merryvale
US,84,60.0,California,Santa Ynez Valley,Central Coast,Pinot Noir,Whitcraft
US,84,45.0,California,Paso Robles,Central Coast,Petite Sirah,Thacher
US,90,40.0,California,Alexander Valley,Sonoma,Pinot Noir,Drew
US,88,35.0,California,Sierra Foothills,Sierra Foothills,Syrah,Terre Rouge
US,91,22.0,California,Monterey County,Central Coast,Riesling,MaidenStoen
US,92,26.0,California,Central Coast,Central Coast,Grenache,Storrs
US,87,28.0,Washington,Yakima Valley,Columbia Valley,Riesling,Columbia Crest
US,88,32.0,California,Edna Valley,Central Coast,Pinot Noir,Tolosa
US,86,27.0,California,Russian River Valley,Sonoma,Merlot,Longboard
US,87,30.0,Oregon,Oregon,Oregon Other,Viognier,Merrill Cellars
US,87,54.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
US,86,40.0,California,Russian River Valley,Sonoma,Chardonnay,Mountain View
US,88,19.0,California,Edna Valley,Central Coast,Pinot Noir,Fossil Point
US,92,42.0,California,Temecula Valley,South Coast,Cabernet Sauvignon,Lorenzi Estate
US,89,25.0,California,Livermore Valley,Central Coast,Merlot,Cuda Ridge Wines
US,90,38.0,California,Paso Robles,Central Coast,Syrah,Cinnabar
US,82,14.0,California,Paso Robles,Central Coast,Sauvignon Blanc,Ancient Peaks
US,89,20.0,California,Napa Valley,Napa,Sauvignon Blanc,Whitehall Lane
US,89,24.0,Washington,Yakima Valley,Columbia Valley,White Blend,Brian Carter Cellars
US,90,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Semillon-Sauvignon Blanc,L'Ecole No. 41
US,88,25.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Martin Ray
US,92,29.0,California,El Dorado,Sierra Foothills,Petite Sirah,Cedarville Vineyard
US,86,34.0,California,Dry Creek Valley,Sonoma,Zinfandel,Bradford Mountain
US,83,35.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Wellington
US,92,40.0,Oregon,Ribbon Ridge,Willamette Valley,Chardonnay,Goodfellow
US,93,45.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,K Vintners
US,88,25.0,California,Napa Valley,Napa,Moscato,St. Supéry
US,91,38.0,California,Rockpile,Sonoma,Zinfandel,Seghesio
US,87,20.0,Oregon,Willamette Valley,Willamette Valley,Rosé,Coeur de Terre
US,93,150.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Goldschmidt
US,84,18.0,California,Russian River Valley,Sonoma,Pinot Noir,Picket Fence
US,95,50.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Siduri
US,94,63.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Ken Wright
US,89,53.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,DiStefano
US,84,14.0,Oregon,Willamette Valley,Willamette Valley,Pinot Blanc,Erath
US,85,13.0,California,Central Coast,Central Coast,Zinfandel,Blackburn Wine Company
US,88,25.0,California,Russian River Valley,Sonoma,Sauvignon Blanc,Davis Bynum
US,89,29.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Dunham
US,87,67.0,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Silver Horse
US,86,16.0,California,Santa Barbara County,Central Coast,Pinot Grigio,Toccata
US,85,9.0,California,California,California Other,Red Blend,Alias
US,83,16.0,California,Lodi,Central Valley,Verdelho,Barreto
US,88,9.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Hedges
US,91,25.0,California,Dry Creek Valley,Sonoma,Cabernet Sauvignon,Dry Creek Vineyard
US,90,45.0,California,Napa Valley,Napa,Cabernet Sauvignon,Bell
US,93,160.0,California,Stags Leap District,Napa,Cabernet Sauvignon,Hall
US,88,75.0,California,Sonoma Valley,Sonoma,Chardonnay,Hanzell
US,88,29.0,California,Sonoma Coast,Sonoma,Pinot Noir,Siduri
US,90,11.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Chateau Ste. Michelle
US,87,40.0,California,San Benito County,Central Coast,Pinot Noir,Pessagno
US,90,40.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Pomum
US,90,50.0,California,Adelaida District,Central Coast,Mourvèdre,Adelaida Cellars
US,85,49.0,California,Green Valley,Sonoma,Pinot Noir,Roadhouse Winery
US,88,15.0,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Illahe
US,93,60.0,California,Paso Robles,Central Coast,Nebbiolo,Lone Madrone
US,85,10.0,New York,New York,New York Other,Red Blend,Thousand Islands Winery
US,89,30.0,California,Arroyo Seco,Central Coast,Chardonnay,Joullian
US,88,35.0,California,Napa Valley,Napa,Red Blend,Kuleto Estate
US,89,18.0,Washington,Lake Chelan,Columbia Valley,Riesling,Tildio
US,93,45.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Barons
US,92,50.0,California,Santa Lucia Highlands,Central Coast,Chardonnay,Talbott
